payment_id,order_id,payment_method,status,payment_date
119,119,gift_card,completed,2025-11-18
120,120,gift_card,completed,2025-11-16
121,121,debit_card,completed,2025-11-18
122,122,gift_card,completed,2025-11-14
123,123,gift_card,completed,2025-11-13
124,124,gift_card,completed,2025-11-16
125,125,paypal,completed,2025-11-18
126,126,gift_card,completed,2025-11-13
127,127,credit_card,completed,2025-11-13
128,128,gift_card,completed,2025-11-17
129,129,gift_card,completed,2025-11-14
130,130,debit_card,completed,2025-11-17
131,131,paypal,pending,2025-11-14
132,132,bank_transfer,completed,2025-11-17
133,133,debit_card,completed,2025-11-13
134,134,gift_card,completed,2025-11-18
135,135,credit_card,completed,2025-11-16
136,136,bank_transfer,completed,2025-11-17
137,137,bank_transfer,completed,2025-11-13
138,138,gift_card,completed,2025-11-14
139,139,bank_transfer,completed,2025-11-16
140,140,credit_card,completed,2025-11-17
141,141,bank_transfer,completed,2025-11-17
142,142,paypal,pending,2025-11-18
143,143,credit_card,completed,2025-11-18
144,144,paypal,failed,2025-11-16
145,145,debit_card,completed,2025-11-13
146,146,credit_card,completed,2025-11-17
147,147,bank_transfer,completed,2025-11-13
148,148,credit_card,completed,2025-11-15
149,149,credit_card,pending,2025-11-17
150,150,bank_transfer,completed,2025-11-13
151,151,paypal,completed,2025-11-13
152,152,debit_card,completed,2025-11-16
153,153,bank_transfer,pending,2025-11-14
154,154,bank_transfer,completed,2025-11-15
155,155,bank_transfer,pending,2025-11-16
156,156,credit_card,completed,2025-11-16
157,157,gift_card,completed,2025-11-18
158,158,paypal,completed,2025-11-14
159,159,debit_card,completed,2025-11-13
160,160,bank_transfer,completed,2025-11-17
161,161,debit_card,completed,2025-11-17
162,162,debit_card,completed,2025-11-18
163,163,credit_card,completed,2025-11-13
164,164,bank_transfer,completed,2025-11-15
165,165,gift_card,completed,2025-11-18
166,166,gift_card,completed,2025-11-16
167,167,debit_card,failed,2025-11-16
168,168,bank_transfer,completed,2025-11-14
169,169,debit_card,completed,2025-11-15
170,170,debit_card,failed,2025-11-15
171,171,credit_card,completed,2025-11-18
172,172,bank_transfer,completed,2025-11-13
173,173,credit_card,completed,2025-11-17
174,174,debit_card,pending,2025-11-14
175,175,credit_card,completed,2025-11-13
176,176,credit_card,completed,2025-11-17
177,177,gift_card,completed,2025-11-16
178,178,credit_card,completed,2025-11-18
179,179,credit_card,completed,2025-11-14
180,180,bank_transfer,completed,2025-11-16
181,181,gift_card,completed,2025-11-14
182,182,credit_card,completed,2025-11-14
183,183,gift_card,completed,2025-11-14
184,184,debit_card,completed,2025-11-15
185,185,gift_card,completed,2025-11-18
186,186,gift_card,completed,2025-11-15
187,187,paypal,completed,2025-11-17
188,188,paypal,completed,2025-11-14
189,189,gift_card,failed,2025-11-14
190,190,bank_transfer,completed,2025-11-14
191,191,paypal,completed,2025-11-15
192,192,gift_card,completed,2025-11-13
193,193,debit_card,pending,2025-11-17
194,194,bank_transfer,completed,2025-11-18
195,195,bank_transfer,completed,2025-11-17
196,196,paypal,completed,2025-11-13
197,197,bank_transfer,pending,2025-11-18
198,198,paypal,completed,2025-11-17
199,199,bank_transfer,completed,2025-11-18
200,200,debit_card,failed,2025-11-16
