order_id,customer_id,order_date,total_amount
70,157,2025-11-13,1622.96
71,185,2025-11-13,1976.24
72,130,2025-11-13,4920.11
73,110,2025-11-13,1072.74
74,141,2025-11-13,2027.72
75,115,2025-11-13,2897.53
76,41,2025-11-13,1255.38
77,191,2025-11-13,3752.17
78,122,2025-11-13,2707.84
79,116,2025-11-13,941.55
80,67,2025-11-13,3983.08
81,193,2025-11-13,275.06
82,64,2025-11-13,4111.09
83,164,2025-11-13,1986.24
84,71,2025-11-13,2887.10
85,197,2025-11-13,2644.20
86,200,2025-11-13,1557.19
87,134,2025-11-13,3363.09
88,125,2025-11-13,2432.79
89,161,2025-11-13,1427.01
90,62,2025-11-13,536.46
91,71,2025-11-13,4410.34
92,113,2025-11-13,3222.43
93,20,2025-11-13,1325.06
94,183,2025-11-13,860.11
95,74,2025-11-13,591.92
96,61,2025-11-13,343.88
97,70,2025-11-13,2772.26
98,86,2025-11-13,554.48
99,82,2025-11-13,4969.67
100,139,2025-11-13,3325.78
101,21,2025-11-13,605.45
102,36,2025-11-13,2777.09
103,39,2025-11-13,6083.91
104,60,2025-11-13,93.39
105,99,2025-11-13,5940.70
106,178,2025-11-13,1184.84
107,40,2025-11-13,1829.23
108,181,2025-11-13,428.38
109,55,2025-11-13,112.76
110,17,2025-11-13,4514.50
111,107,2025-11-13,1948.37
112,105,2025-11-13,681.00
113,85,2025-11-13,856.41
114,139,2025-11-13,3464.73
115,120,2025-11-13,7431.49
116,107,2025-11-13,1137.33
117,16,2025-11-13,1948.51
118,53,2025-11-13,3717.44
119,108,2025-11-13,2705.41
120,100,2025-11-13,2163.38
121,198,2025-11-13,1895.43
122,150,2025-11-13,501.12
123,179,2025-11-13,2368.45
124,6,2025-11-13,1411.51
125,196,2025-11-13,855.74
126,148,2025-11-13,1754.92
127,98,2025-11-13,2307.96
128,123,2025-11-13,1894.09
129,2,2025-11-13,2393.64
130,91,2025-11-13,3833.69
131,77,2025-11-13,4250.63
132,193,2025-11-13,1415.86
133,100,2025-11-13,2510.78
134,108,2025-11-13,4203.62
135,138,2025-11-13,1121.79
136,192,2025-11-13,1646.03
137,189,2025-11-13,4246.63
138,140,2025-11-13,3848.42
139,155,2025-11-13,1305.09
140,57,2025-11-13,392.28
141,125,2025-11-13,3195.50
142,57,2025-11-13,1852.70
143,70,2025-11-13,1471.89
144,112,2025-11-13,510.82
145,125,2025-11-13,1087.96
146,8,2025-11-13,4763.80
147,100,2025-11-13,2930.00
148,87,2025-11-13,1381.24
149,172,2025-11-13,3292.10
150,174,2025-11-13,1762.41
151,104,2025-11-13,225.70
152,186,2025-11-13,4088.84
153,43,2025-11-13,708.54
154,120,2025-11-13,1980.42
155,33,2025-11-13,1155.12
156,160,2025-11-13,4181.80
157,137,2025-11-13,1290.00
158,7,2025-11-13,6078.40
159,101,2025-11-13,1355.13
160,152,2025-11-13,2043.86
161,145,2025-11-13,1079.20
162,170,2025-11-13,1676.00
163,7,2025-11-13,1419.54
164,22,2025-11-13,888.16
165,165,2025-11-13,2747.00
166,110,2025-11-13,2850.56
167,35,2025-11-13,1550.08
168,119,2025-11-13,2308.82
169,47,2025-11-13,948.30
170,13,2025-11-13,2630.63
171,67,2025-11-13,290.79
172,98,2025-11-13,2161.85
173,84,2025-11-13,653.37
174,55,2025-11-13,1179.50
175,117,2025-11-13,4126.89
176,84,2025-11-13,2316.25
177,87,2025-11-13,4625.10
178,195,2025-11-13,1027.13
179,98,2025-11-13,1538.90
180,72,2025-11-13,5005.11
181,193,2025-11-13,180.38
182,108,2025-11-13,2139.11
183,65,2025-11-13,1545.15
184,21,2025-11-13,2697.20
185,121,2025-11-13,901.06
186,5,2025-11-13,715.82
187,192,2025-11-13,266.91
188,139,2025-11-13,1324.85
189,14,2025-11-13,558.86
190,90,2025-11-13,638.99
191,58,2025-11-13,2832.37
192,167,2025-11-13,213.44
193,18,2025-11-13,1860.56
194,200,2025-11-13,2947.19
195,167,2025-11-13,2984.28
196,11,2025-11-13,555.87
197,194,2025-11-13,5003.13
198,8,2025-11-13,687.65
199,64,2025-11-13,3434.95
200,52,2025-11-13,3797.59
