order_item_id,order_id,product_id,quantity,item_price
129,43,150,4,84.98
130,44,24,4,428.38
131,44,90,4,404.71
132,44,86,3,259.51
133,44,172,1,178.08
134,45,85,4,430.52
135,45,178,4,469.92
136,46,170,4,430.00
137,46,195,5,340.27
138,46,10,4,380.61
139,47,81,3,296.21
140,48,30,4,306.52
141,48,132,1,440.24
142,48,169,5,194.36
143,49,106,1,451.71
144,49,49,5,397.08
145,49,93,5,236.18
146,49,194,4,213.12
147,50,195,1,340.27
148,50,53,3,341.74
149,50,141,2,139.81
150,50,74,4,136.20
151,51,32,1,85.88
152,51,162,5,463.25
153,51,62,2,421.63
154,51,80,5,36.69
155,52,142,4,360.22
156,53,58,1,477.14
157,54,31,2,269.40
158,54,128,3,9.61
159,54,131,3,466.96
160,54,107,4,192.59
161,55,63,4,80.66
162,55,142,2,360.22
163,55,99,2,213.83
164,55,154,5,275.07
165,56,18,3,486.69
166,56,198,4,155.42
167,57,130,3,255.41
168,57,1,3,17.38
169,57,186,3,5.84
170,58,149,4,320.37
171,58,39,4,110.25
172,58,138,4,469.77
173,58,89,3,125.28
174,58,142,5,360.22
175,59,117,3,426.41
176,59,49,2,397.08
177,59,147,4,415.53
178,59,60,4,256.30
179,60,82,4,296.28
180,61,99,2,213.83
181,61,127,1,231.33
182,61,33,5,138.62
183,61,152,3,282.65
184,62,113,1,375.25
185,63,117,1,426.41
186,63,185,2,131.09
187,63,105,2,243.27
188,63,20,4,415.56
189,63,68,3,123.53
190,64,178,4,469.92
191,64,167,1,402.11
192,64,85,5,430.52
193,64,98,3,270.46
194,64,161,4,487.05
195,65,10,5,380.61
196,65,18,2,486.69
197,65,162,3,463.25
198,65,59,1,486.08
199,65,112,1,291.69
200,66,114,2,29.82
201,67,8,1,114.12
202,67,84,1,118.33
203,67,76,3,357.91
204,68,111,2,112.76
205,68,63,5,80.66
206,68,106,5,451.71
207,69,44,2,449.42
208,69,21,5,290.79
209,70,159,2,342.62
210,70,128,5,9.61
211,70,37,2,137.53
212,70,119,3,204.87
213,71,66,1,14.64
214,71,120,3,291.56
215,71,174,5,202.24
216,71,41,1,75.72
217,72,89,5,125.28
218,72,77,4,497.60
219,72,177,3,341.36
220,72,117,3,426.41
221,73,99,4,213.83
222,73,28,2,108.71
223,74,147,3,415.53
224,74,148,3,6.76
225,74,180,3,93.39
226,74,6,4,120.17
227,75,3,5,369.55
228,75,176,1,178.82
229,75,156,4,217.74
230,76,199,2,217.79
231,76,156,3,217.74
232,76,57,2,83.29
233,77,65,2,301.48
234,77,161,1,487.05
235,77,161,1,487.05
236,77,80,4,36.69
237,77,9,5,405.67
238,78,188,2,474.69
239,78,24,3,428.38
240,78,84,4,118.33
241,79,52,2,266.91
242,79,139,3,135.91
243,80,129,3,41.26
244,80,43,3,374.77
245,80,124,3,336.51
246,80,192,3,166.46
247,80,30,4,306.52
248,81,37,2,137.53
249,82,143,3,345.31
250,82,24,4,428.38
251,82,4,3,297.29
252,82,138,1,469.77
253,83,95,3,35.00
254,83,150,4,84.98
255,83,164,3,441.30
256,83,28,2,108.71
257,84,7,5,282.82
258,84,144,3,255.18
259,84,157,2,157.59
260,84,166,1,392.28
261,85,180,3,93.39
262,85,167,4,402.11
263,85,30,2,306.52
264,85,12,1,142.55
265,86,127,1,231.33
266,86,25,2,193.16
267,86,138,2,469.77
268,87,117,3,426.41
269,87,172,5,178.08
270,87,108,5,136.28
271,87,191,2,256.03
272,88,168,1,137.07
273,88,126,5,69.78
274,88,105,3,243.27
275,88,9,3,405.67
276,89,114,4,29.82
277,89,61,3,435.91
278,90,176,3,178.82
279,91,166,3,392.28
280,91,16,4,303.84
281,91,71,2,408.93
282,91,32,4,85.88
283,91,24,2,428.38
284,92,6,1,120.17
285,92,86,2,259.51
286,92,33,5,138.62
287,92,53,1,341.74
288,92,196,5,309.68
289,93,151,2,278.08
290,93,60,3,256.30
291,94,153,1,42.25
292,94,71,2,408.93
293,95,139,3,135.91
294,95,45,1,184.19
295,96,34,1,343.88
296,97,61,5,435.91
297,97,83,1,40.14
298,97,45,3,184.19
299,98,33,4,138.62
300,99,30,1,306.52
301,99,122,4,330.40
302,99,200,3,235.17
303,99,132,5,440.24
304,99,28,4,108.71
305,100,57,5,83.29
306,100,12,5,142.55
307,100,78,4,221.86
308,100,165,1,93.78
309,100,16,4,303.84
310,101,110,1,81.62
311,101,126,4,69.78
312,101,19,1,44.01
313,101,83,5,40.14
314,102,17,2,366.22
315,102,71,5,408.93
316,103,141,3,139.81
317,103,98,5,270.46
318,103,136,3,335.59
319,103,117,5,426.41
320,103,155,4,293.34
321,104,180,1,93.39
322,105,185,2,131.09
323,105,111,4,112.76
324,105,59,4,486.08
325,105,87,4,336.14
326,105,103,4,484.65
327,106,81,4,296.21
328,107,171,3,103.79
329,107,96,2,401.29
330,107,176,4,178.82
331,108,24,1,428.38
332,109,111,1,112.76
333,110,34,5,343.88
334,110,16,5,303.84
335,110,144,5,255.18
336,111,172,1,178.08
337,111,106,3,451.71
338,111,171,4,103.79
339,112,74,5,136.20
340,113,91,1,51.69
341,113,148,5,6.76
342,113,55,2,385.46
343,114,58,1,477.14
344,114,90,5,404.71
345,114,95,1,35.00
346,114,196,3,309.68
347,115,58,4,477.14
348,115,144,5,255.18
349,115,158,5,449.97
350,115,7,5,282.82
351,115,169,3,194.36
352,116,47,3,379.11
353,117,87,3,336.14
354,117,2,2,126.22
355,117,37,5,137.53
356,118,18,2,486.69
357,118,190,1,361.28
358,118,24,5,428.38
359,118,56,4,60.22
360,119,117,3,426.41
361,119,41,3,75.72
362,119,80,3,36.69
363,119,199,5,217.79
364,120,22,1,27.68
365,120,40,2,200.84
366,120,194,5,213.12
367,120,13,1,478.82
368,120,70,4,47.40
369,121,125,5,123.15
370,121,114,4,29.82
371,121,70,2,47.40
372,121,194,5,213.12
373,122,89,4,125.28
374,123,73,5,473.69
375,124,135,3,307.78
376,124,12,2,142.55
377,124,102,5,30.04
378,124,15,1,52.87
379,125,78,2,221.86
380,125,197,2,206.01
381,126,75,3,482.36
382,126,31,1,269.40
383,126,128,4,9.61
384,127,34,4,343.88
385,127,137,2,466.22
386,128,144,3,255.18
387,128,19,4,44.01
388,128,190,1,361.28
389,128,112,1,291.69
390,128,118,1,299.54
391,129,148,4,6.76
392,129,147,4,415.53
393,129,182,4,176.12
394,130,30,4,306.52
395,130,6,3,120.17
396,130,44,5,449.42
397,131,177,3,341.36
398,131,23,4,387.67
399,131,28,2,108.71
400,131,112,5,291.69
401,132,135,1,307.78
402,132,102,3,30.04
403,132,191,3,256.03
404,132,57,3,83.29
405,133,20,5,415.56
406,133,163,1,432.98
407,134,131,2,466.96
408,134,199,3,217.79
409,134,90,2,404.71
410,134,61,1,435.91
411,134,38,3,457.00
412,135,45,5,184.19
413,135,40,1,200.84
414,136,198,4,155.42
415,136,119,5,204.87
416,137,115,5,253.91
417,137,165,5,93.78
418,137,83,3,40.14
419,137,39,4,110.25
420,137,18,4,486.69
421,138,162,3,463.25
422,138,71,5,408.93
423,138,15,3,52.87
424,138,130,1,255.41
425,139,119,4,204.87
426,139,10,1,380.61
427,139,95,3,35.00
428,140,166,1,392.28
429,141,153,5,42.25
430,141,99,4,213.83
431,141,149,5,320.37
432,141,190,1,361.28
433,141,116,5,33.16
434,142,83,5,40.14
435,142,122,5,330.40
436,143,16,4,303.84
437,143,27,3,85.51
438,144,130,2,255.41
439,145,64,4,271.99
440,146,135,5,307.78
441,146,157,2,157.59
442,146,94,3,338.32
443,146,73,4,473.69
444,147,199,3,217.79
445,147,174,5,202.24
446,147,14,3,55.59
447,147,17,3,366.22
448,148,143,4,345.31
449,149,65,5,301.48
450,149,39,3,110.25
451,149,21,5,290.79
452,150,90,3,404.71
453,150,168,4,137.07
454,151,153,1,42.25
455,151,80,5,36.69
456,152,165,3,93.78
457,152,33,5,138.62
458,152,24,4,428.38
459,152,131,3,466.96
460,153,93,3,236.18
461,154,55,3,385.46
462,154,197,4,206.01
463,155,58,2,477.14
464,155,40,1,200.84
465,156,26,5,319.66
466,156,198,5,155.42
467,156,190,5,361.28
468,157,170,3,430.00
469,158,34,5,343.88
470,158,97,2,128.08
471,158,42,2,127.08
472,158,178,5,469.92
473,158,43,4,374.77
474,159,106,3,451.71
475,160,114,5,29.82
476,160,73,4,473.69
477,161,137,2,466.22
478,161,80,4,36.69
479,162,95,5,35.00
480,162,113,4,375.25
481,163,200,4,235.17
482,163,129,5,41.26
483,163,108,2,136.28
484,164,155,2,293.34
485,164,65,1,301.48
486,165,96,5,401.29
487,165,27,5,85.51
488,165,32,3,85.88
489,165,22,2,27.68
490,166,116,5,33.16
491,166,38,4,457.00
492,166,24,2,428.38
493,167,90,1,404.71
494,167,107,1,192.59
495,167,102,5,30.04
496,167,96,2,401.29
497,168,21,3,290.79
498,168,58,1,477.14
499,168,82,1,296.28
500,168,183,3,221.01
501,169,36,1,403.50
502,169,74,4,136.20
503,170,195,4,340.27
504,170,115,5,253.91
505,171,21,1,290.79
506,172,56,2,60.22
507,172,141,5,139.81
508,172,136,4,335.59
509,173,199,3,217.79
510,174,78,1,221.86
511,174,13,2,478.82
512,175,164,5,441.30
513,175,118,1,299.54
514,175,29,4,352.40
515,175,153,5,42.25
516,176,162,5,463.25
517,177,62,2,421.63
518,177,75,4,482.36
519,177,1,5,17.38
520,177,91,2,51.69
521,177,147,4,415.53
522,178,171,1,103.79
523,178,135,3,307.78
524,179,135,5,307.78
525,180,130,5,255.41
526,180,6,4,120.17
527,180,121,1,311.59
528,180,163,4,432.98
529,180,96,3,401.29
530,181,92,1,180.38
531,182,62,1,421.63
532,182,198,5,155.42
533,182,189,3,313.46
534,183,12,3,142.55
535,183,140,3,372.50
536,184,200,4,235.17
537,184,179,4,439.13
538,185,35,1,118.38
539,185,184,4,195.67
540,186,76,2,357.91
541,187,52,1,266.91
542,188,80,5,36.69
543,188,102,5,30.04
544,188,122,3,330.40
545,189,193,2,279.43
546,190,92,1,180.38
547,190,168,3,137.07
548,190,70,1,47.40
549,191,112,4,291.69
550,191,191,4,256.03
551,191,99,3,213.83
552,192,128,4,9.61
553,192,95,5,35.00
554,193,22,4,27.68
555,193,21,4,290.79
556,193,155,2,293.34
557,194,76,3,357.91
558,194,27,1,85.51
559,194,84,3,118.33
560,194,79,4,64.90
561,194,155,4,293.34
562,195,177,4,341.36
563,195,90,4,404.71
564,196,187,3,185.29
565,197,112,3,291.69
566,197,164,1,441.30
567,197,20,4,415.56
568,197,94,5,338.32
569,197,192,2,166.46
570,198,37,5,137.53
571,199,9,2,405.67
572,199,18,2,486.69
573,199,200,3,235.17
574,199,93,4,236.18
575,200,9,5,405.67
576,200,40,4,200.84
577,200,95,3,35.00
578,200,114,1,29.82
579,200,147,2,415.53
